airline,airline_id,src,src_id,dest,dest_id,codeshare,stops,equipment,src_lat,src_lon,dest_lat,dest_lon,id
2B,"410",ASF,"2966",MRV,"2962",,"0",CR2,46.28329849,48.00630188,44.22510147,43.08190155,"3"
2B,"410",CEK,"2968",KZN,"2990",,"0",CR2,55.305801,61.5033,55.60620117,49.27870178,"4"
2B,"410",CEK,"2968",OVB,"4078",,"0",CR2,55.305801,61.5033,55.01259995,82.65070343,"5"
2B,"410",DME,"4029",KZN,"2990",,"0",CR2,55.40879822,37.90629959,55.60620117,49.27870178,"6"
2B,"410",DME,"4029",NBC,"6969",,"0",CR2,55.40879822,37.90629959,55.56470108,52.09249878,"7"
2B,"410",DME,"4029",TGK,\N,,"0",CR2,55.40879822,37.90629959,47.1983333,38.8491667,"8"
2B,"410",DME,"4029",UUA,"6160",,"0",CR2,55.40879822,37.90629959,54.63999939,52.80170059,"9"
2B,"410",EGO,"6156",KGD,"2952",,"0",CR2,50.64379883,36.59009933,54.88999939,20.59259987,"10"
2B,"410",EGO,"6156",KZN,"2990",,"0",CR2,50.64379883,36.59009933,55.60620117,49.27870178,"11"
2B,"410",GYD,"2922",NBC,"6969",,"0",CR2,40.46749878,50.04669952,55.56470108,52.09249878,"12"
2B,"410",KZN,"2990",AER,"2965",,"0",CR2,55.60620117,49.27870178,43.449902,39.9566,"14"
2B,"410",KZN,"2990",ASF,"2966",,"0",CR2,55.60620117,49.27870178,46.28329849,48.00630188,"15"
2B,"410",KZN,"2990",SVX,"2975",,"0",CR2,55.60620117,49.27870178,56.74309921,60.80270004,"20"
2B,"410",LED,"2948",UUA,"6160",,"0",CR2,59.8003006,30.26250076,54.63999939,52.80170059,"23"
2B,"410",NBC,"6969",LED,"2948",,"0",CR2,55.56470108,52.09249878,59.8003006,30.26250076,"27"
2B,"410",NBC,"6969",SVX,"2975",,"0",CR2,55.56470108,52.09249878,56.74309921,60.80270004,"28"
2B,"410",NJC,"2972",SVX,"2975",,"0",CR2,60.94929886,76.4835968,56.74309921,60.80270004,"29"
2B,"410",NJC,"2972",UUA,"6160",,"0",CR2,60.94929886,76.4835968,54.63999939,52.80170059,"30"
2B,"410",NUX,"4364",SVX,"2975",,"0",CR2,66.06939697,76.52030182,56.74309921,60.80270004,"31"
2B,"410",OVB,"4078",SVX,"2975",,"0",CR2,55.01259995,82.65070343,56.74309921,60.80270004,"33"
2G,"1654",BTK,"2936",IKT,"2937",,"0",A81,56.37060165,101.697998,52.26800156,104.3889999,"43"
2G,"1654",BTK,"2936",OVB,"4078",,"0",A81,56.37060165,101.697998,55.01259995,82.65070343,"44"
2G,"1654",HTA,"2935",IKT,"2937",,"0",AN4,52.026299,113.306,52.26800156,104.3889999,"46"
2G,"1654",IKT,"2937",KCK,\N,,"0",AN4,52.26800156,104.3889999,57.773,108.064,"49"
2G,"1654",MJZ,"2925",OVB,"4078",,"0",A81,62.53469849,114.0390015,55.01259995,82.65070343,"56"
2G,"1654",ODO,"8944",IKT,"2937",,"0",AN4,57.86610031,114.2429962,52.26800156,104.3889999,"57"
2G,"1654",OVB,"4078",IKT,"2937",,"0",A81,55.01259995,82.65070343,52.26800156,104.3889999,"60"
2G,"1654",UKX,"6924",IKT,"2937",,"0",AN4,56.8567009,105.7300034,52.26800156,104.3889999,"61"
2G,"1654",ULK,"9026",IKT,"2937",,"0",AN4,60.72060013,114.8259964,52.26800156,104.3889999,"62"
2G,"1654",YKS,"2923",IKT,"2937",,"0",A81,62.09329987,129.7709961,52.26800156,104.3889999,"63"
2I,"8359",AYP,"2786",LIM,"2789",,"0","142",-13.15480042,-74.20439911,-12.0219,-77.114305,"64"
2I,"8359",LIM,"2789",HUU,"6067",,"0","141",-12.0219,-77.114305,-9.878809929,-76.20480347,"72"
2I,"8359",LIM,"2789",PCL,"2781",,"0",143 146,-12.0219,-77.114305,-8.377940178,-74.57430267,"73"
2I,"8359",LIM,"2789",TPP,"2806",,"0",142 146,-12.0219,-77.114305,-6.508739948,-76.37319946,"74"
2I,"8359",PCL,"2781",IQT,"2801",,"0","143",-8.377940178,-74.57430267,-3.784739971,-73.30879974,"75"
2I,"8359",PCL,"2781",TPP,"2806",,"0","146",-8.377940178,-74.57430267,-6.508739948,-76.37319946,"77"
2I,"8359",PEM,"2808",CUZ,"2812",,"0","142",-12.61359978,-69.22859955,-13.53569984,-71.938797,"78"
2I,"8359",TPP,"2806",IQT,"2801",,"0","142",-6.508739948,-76.37319946,-3.784739971,-73.30879974,"79"
2J,"470",ACC,"248",OUA,"246",,"0",CRJ,5.6051898,-0.166786,12.3532,-1.51242,"84"
2J,"470",BKO,"1044",ABJ,"253",,"0",M87,12.5335,-7.94994,5.261390209,-3.926290035,"85"
2J,"470",BOY,"247",ABJ,"253",,"0",CRJ,11.16009998,-4.33096981,5.261390209,-3.926290035,"88"
2J,"470",BOY,"247",OUA,"246",,"0",CRJ,11.16009998,-4.33096981,12.3532,-1.51242,"89"
2J,"470",COO,"245",OUA,"246",,"0",M87,6.357230186,2.384350061,12.3532,-1.51242,"91"
2J,"470",DKR,"1084",OUA,"246",,"0",M87,14.73970032,-17.49020004,12.3532,-1.51242,"93"
2L,"2750",GVA,"1665",LPA,"1054",,"0","319",46.23809814,6.108950138,27.93190002,-15.38659954,"119"
2L,"2750",TFS,"1056",GVA,"1665",,"0","319",28.04450035,-16.57250023,46.23809814,6.108950138,"123"
2L,"2750",ZRH,"1678",BOD,"1264",,"0","100",47.464699,8.54917,44.82830048,-0.715556026,"125"
2L,"2750",ZRH,"1678",BRS,"490",,"0","100",47.464699,8.54917,51.382702,-2.71909,"126"
2N,"3652",AJR,"730",LYC,"719",,"0",ATP,65.59030151,19.28190041,64.5483017,18.71619987,"130"
