airline,airline_id,src,src_id,dst,dst_id,stops,equipment,lon_f,lat_f,lon_t,lat_t
2B,"410",ASF,"2966",MRV,"2962","0",CR2,"48.006302","46.283298","43.081902","44.225101"
2B,"410",CEK,"2968",OVB,"4078","0",CR2,"61.5033","55.305801","82.650703","55.0126"
2B,"410",DME,"4029",NBC,"6969","0",CR2,"37.9063","55.408798","52.092499","55.564701"
2B,"410",DME,"4029",UUA,"6160","0",CR2,"37.9063","55.408798","52.801701","54.639999"
2B,"410",EGO,"6156",KGD,"2952","0",CR2,"36.590099","50.643799","20.5926","54.889999"
2B,"410",EGO,"6156",KZN,"2990","0",CR2,"36.590099","50.643799","49.278702","55.606201"
2B,"410",GYD,"2922",NBC,"6969","0",CR2,"50.0467","40.467499","52.092499","55.564701"
2B,"410",KZN,"2990",AER,"2965","0",CR2,"49.278702","55.606201","39.9566","43.449902"
2B,"410",KZN,"2990",ASF,"2966","0",CR2,"49.278702","55.606201","48.006302","46.283298"
2B,"410",KZN,"2990",CEK,"2968","0",CR2,"49.278702","55.606201","61.5033","55.305801"
2B,"410",KZN,"2990",DME,"4029","0",CR2,"49.278702","55.606201","37.9063","55.408798"
2B,"410",KZN,"2990",LED,"2948","0",CR2,"49.278702","55.606201","30.262501","59.800301"
2B,"410",KZN,"2990",SVX,"2975","0",CR2,"49.278702","55.606201","60.8027","56.743099"
2B,"410",LED,"2948",UUA,"6160","0",CR2,"30.262501","59.800301","52.801701","54.639999"
2B,"410",NBC,"6969",LED,"2948","0",CR2,"52.092499","55.564701","30.262501","59.800301"
2B,"410",NBC,"6969",SVX,"2975","0",CR2,"52.092499","55.564701","60.8027","56.743099"
2B,"410",NJC,"2972",SVX,"2975","0",CR2,"76.483597","60.949299","60.8027","56.743099"
2B,"410",NJC,"2972",UUA,"6160","0",CR2,"76.483597","60.949299","52.801701","54.639999"
2G,"1654",BTK,"2936",OVB,"4078","0",A81,"101.697998","56.370602","82.650703","55.0126"
2G,"1654",IKT,"2937",BTK,"2936","0",A81,"104.389","52.268002","101.697998","56.370602"
2G,"1654",IKT,"2937",HTA,"2935","0",AN4,"104.389","52.268002","113.306","52.026299"
2G,"1654",IKT,"2937",ODO,"8944","0",AN4,"104.389","52.268002","114.242996","57.8661"
2G,"1654",IKT,"2937",OVB,"4078","0",A81,"104.389","52.268002","82.650703","55.0126"
2G,"1654",UKX,"6924",IKT,"2937","0",AN4,"105.730003","56.856701","104.389","52.268002"
2G,"1654",YKS,"2923",IKT,"2937","0",A81,"129.770996","62.0933","104.389","52.268002"
2I,"8359",LIM,"2789",AYP,"2786","0","142","-77.114305","-12.0219","-74.204399","-13.1548"
2I,"8359",LIM,"2789",HUU,"6067","0","141","-77.114305","-12.0219","-76.204803","-9.87881"
2I,"8359",LIM,"2789",PCL,"2781","0",143 146,"-77.114305","-12.0219","-74.574303","-8.37794"
2I,"8359",PCL,"2781",IQT,"2801","0","143","-74.574303","-8.37794","-73.3088","-3.78474"
2I,"8359",PEM,"2808",CUZ,"2812","0","142","-69.2286","-12.6136","-71.938797","-13.5357"
2I,"8359",TPP,"2806",IQT,"2801","0","142","-76.373199","-6.50874","-73.3088","-3.78474"
2I,"8359",TPP,"2806",LIM,"2789","0",142 146,"-76.373199","-6.50874","-77.114305","-12.0219"
2I,"8359",TPP,"2806",PCL,"2781","0","146","-76.373199","-6.50874","-74.574303","-8.37794"
2J,"470",ABJ,"253",BOY,"247","0",CRJ,"-3.92629","5.26139","-4.33097","11.1601"
2J,"470",ACC,"248",OUA,"246","0",CRJ,"-0.166786","5.60519","-1.51242","12.3532"
2J,"470",DKR,"1084",OUA,"246","0",M87,"-17.4902","14.7397","-1.51242","12.3532"
2J,"470",OUA,"246",BOY,"247","0",CRJ,"-1.51242","12.3532","-4.33097","11.1601"
2J,"470",OUA,"246",COO,"245","0",M87,"-1.51242","12.3532","2.38435","6.35723"
2L,"2750",GVA,"1665",LPA,"1054","0","319","6.10895","46.238098","-15.3866","27.9319"
2L,"2750",TFS,"1056",GVA,"1665","0","319","-16.5725","28.0445","6.10895","46.238098"
2L,"2750",ZRH,"1678",BOD,"1264","0","100","8.54917","47.464699","-0.715556","44.8283"
2L,"2750",ZRH,"1678",BRS,"490","0","100","8.54917","47.464699","-2.71909","51.382702"
2L,"2750",ZRH,"1678",LPA,"1054","0","319","8.54917","47.464699","-15.3866","27.9319"
2N,"3652",ARN,"737",JKG,"688","0",ATP SF3,"17.9186","59.651901","14.0687","57.757599"
2N,"3652",ARN,"737",KRF,"718","0",ATP,"17.9186","59.651901","17.7689","63.048599"
2N,"3652",ARN,"737",KSD,"5595","0",SF3,"17.9186","59.651901","13.3374","59.444698"
2N,"3652",ARN,"737",LYC,"719","0",ATP,"17.9186","59.651901","18.7162","64.548302"
2N,"3652",ARN,"737",MHQ,"442","0",SF3,"17.9186","59.651901","19.898199","60.1222"
2N,"3652",ARN,"737",OER,"722","0",ATR,"17.9186","59.651901","18.99","63.408298"
2N,"3652",ARN,"737",POR,"448","0",SF3,"17.9186","59.651901","21.799999","61.4617"
2N,"3652",ARN,"737",TRF,"664","0",SF3,"17.9186","59.651901","10.2586","59.186699"
2N,"3652",ARN,"737",VBY,"746","0",SF3 ATP,"17.9186","59.651901","18.346201","57.6628"
2N,"3652",ARN,"737",VHM,"729","0",SF3,"17.9186","59.651901","16.833599","64.579102"
2N,"3652",ARN,"737",VXO,"711","0",SF3,"17.9186","59.651901","14.728","56.9291"
2N,"3652",GEV,"715",ARN,"737","0",ATP,"20.8146","67.132401","17.9186","59.651901"
2N,"3652",GEV,"715",KRF,"718","0",ATP,"20.8146","67.132401","17.7689","63.048599"
2N,"3652",HAD,"709",ARN,"737","0",SF3 ATP,"12.8202","56.691101","17.9186","59.651901"
2N,"3652",HAD,"709",JKG,"688","0",ATP SF3,"12.8202","56.691101","14.0687","57.757599"
2N,"3652",HAD,"709",VXO,"711","0",SF3,"12.8202","56.691101","14.728","56.9291"
2N,"3652",HMV,"5599",VHM,"729","0",SF3,"15.0828","65.806099","16.833599","64.579102"
2N,"3652",LYC,"719",AJR,"730","0",ATP,"18.7162","64.548302","19.2819","65.590302"
2N,"3652",OSL,"644",VXO,"711","0",SF3,"11.0502","60.121","14.728","56.9291"
2N,"3652",POR,"448",KOK,"435","0",SF3,"21.799999","61.4617","23.143101","63.721199"
2N,"3652",TKU,"460",MHQ,"442","0",SF3,"22.2628","60.514099","19.898199","60.1222"
2O,"146",ADQ,"3531",KLN,"7162","0",BNI,"-152.494003","57.75","-153.977997","57.535099"
2O,"146",KLN,"7162",KYK,"7161","0",BNI,"-153.977997","57.535099","-154.449997","57.567101"
2P,"897",BSO,"6019",MNL,"2397","0",DH4,"121.980003","20.4513","121.019997","14.5086"
2P,"897",CRM,"6024",MNL,"2397","0",DH4,"124.636002","12.5024","121.019997","14.5086"
2P,"897",DWC,"8076",MNL,"2397","0","330","55.161389","24.896356","121.019997","14.5086"
2P,"897",SUG,"6016",MNL,"2397","0",DH4,"125.480947","9.755838","121.019997","14.5086"
2Z,"1729",BSB,"2531",OPS,"7367","0",AT7,"-47.920834","-15.869167","-55.586109","-11.885"
2Z,"1729",BSB,"2531",RAO,"2613","0",AT7,"-47.920834","-15.869167","-47.776669","-21.136389"
2Z,"1729",DOU,"7380",CGR,"2538","0",AT7,"-54.926601","-22.2019","-54.672501","-20.4687"
2Z,"1729",GIG,"2560",RAO,"2613","0",AT7,"-43.250557","-22.809999","-47.776669","-21.136389"
2Z,"1729",GRU,"2564",CAC,"2535","0",AT7,"-46.473057","-23.435556","-53.500801","-25.000299"
2Z,"1729",GRU,"2564",DOU,"7380","0",AT7,"-46.473057","-23.435556","-54.926601","-22.2019"
2Z,"1729",GRU,"2564",RAO,"2613","0",AT7,"-46.473057","-23.435556","-47.776669","-21.136389"
2Z,"1729",GRU,"2564",UBA,"2635","0",AT7,"-46.473057","-23.435556","-47.96611","-19.764723"
2Z,"1729",GRU,"2564",UDI,"2633","0",AT7,"-46.473057","-23.435556","-48.225277","-18.883612"
2Z,"1729",GRU,"2564",VDC,"6039","0",AT7,"-46.473057","-23.435556","-40.863098","-14.8628"
2Z,"1729",GYN,"2562",RAO,"2613","0",AT7,"-49.220699","-16.632","-47.776669","-21.136389"
