id,name,city,country,faa,icao,alt,tz-offset,dst,tz,longitude,latitude
"1",Goroka Airport,Goroka,Papua New Guinea,GKA,AYGA,"5282","10",U,Pacific/Port_Moresby,145.391998,-6.08169
"2",Madang Airport,Madang,Papua New Guinea,MAG,AYMD,"20","10",U,Pacific/Port_Moresby,145.789001,-5.20708
"3",Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,HGU,AYMH,"5388","10",U,Pacific/Port_Moresby,144.296005,-5.82679
"4",Nadzab Airport,Nadzab,Papua New Guinea,LAE,AYNZ,"239","10",U,Pacific/Port_Moresby,146.725977,-6.569803
"5",Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,POM,AYPY,"146","10",U,Pacific/Port_Moresby,147.220001,-9.44338
"6",Wewak International Airport,Wewak,Papua New Guinea,WWK,AYWK,"19","10",U,Pacific/Port_Moresby,143.669006,-3.58383
"7",Narsarsuaq Airport,Narssarssuaq,Greenland,UAK,BGBW,"112","-3",E,America/Godthab,-45.425999,61.1605
"8",Godthaab / Nuuk Airport,Godthaab,Greenland,GOH,BGGH,"283","-3",E,America/Godthab,-51.678101,64.190903
"9",Kangerlussuaq Airport,Sondrestrom,Greenland,SFJ,BGSF,"165","-3",E,America/Godthab,-50.711603,67.012222
"10",Thule Air Base,Thule,Greenland,THU,BGTL,"251","-4",E,America/Thule,-68.703201,76.531197
"11",Akureyri Airport,Akureyri,Iceland,AEY,BIAR,"6","0",N,Atlantic/Reykjavik,-18.072701,65.660004
"12",Egilsstaðir Airport,Egilsstadir,Iceland,EGS,BIEG,"76","0",N,Atlantic/Reykjavik,-14.4014,65.283302
"13",Hornafjörður Airport,Hofn,Iceland,HFN,BIHN,"24","0",N,Atlantic/Reykjavik,-15.2272,64.295601
"14",Húsavík Airport,Husavik,Iceland,HZK,BIHU,"48","0",N,Atlantic/Reykjavik,-17.426001,65.952301
"15",Ísafjörður Airport,Isafjordur,Iceland,IFJ,BIIS,"8","0",N,Atlantic/Reykjavik,-23.1353,66.058098
"16",Keflavik International Airport,Keflavik,Iceland,KEF,BIKF,"171","0",N,Atlantic/Reykjavik,-22.6056,63.985001
"17",Patreksfjörður Airport,Patreksfjordur,Iceland,PFJ,BIPA,"11","0",N,Atlantic/Reykjavik,-23.965,65.555801
"18",Reykjavik Airport,Reykjavik,Iceland,RKV,BIRK,"48","0",N,Atlantic/Reykjavik,-21.940599,64.129997
"19",Siglufjörður Airport,Siglufjordur,Iceland,SIJ,BISI,"10","0",N,Atlantic/Reykjavik,-18.9167,66.133301
"20",Vestmannaeyjar Airport,Vestmannaeyjar,Iceland,VEY,BIVM,"326","0",N,Atlantic/Reykjavik,-20.2789,63.424301
"21",Sault Ste Marie Airport,Sault Sainte Marie,Canada,YAM,CYAM,"630","-5",A,America/Toronto,-84.509399,46.485001
"22",Winnipeg / St. Andrews Airport,Winnipeg,Canada,\N,CYAV,"760","-6",A,America/Winnipeg,-97.032501,50.0564
"23",Halifax / CFB Shearwater Heliport,Halifax,Canada,\N,CYAW,"144","-4",A,America/Halifax,-63.499401,44.639702
"24",St. Anthony Airport,St. Anthony,Canada,YAY,CYAY,"108","-3.5",A,America/St_Johns,-56.083099,51.391899
"25",Tofino / Long Beach Airport,Tofino,Canada,YAZ,CYAZ,"80","-8",A,America/Vancouver,-125.775583,49.079833
"26",Kugaaruk Airport,Pelly Bay,Canada,YBB,CYBB,"56","-7",A,America/Edmonton,-89.808098,68.534401
"27",Baie Comeau Airport,Baie Comeau,Canada,YBC,CYBC,"71","-5",A,America/Toronto,-68.204399,49.1325
"28",CFB Bagotville,Bagotville,Canada,YBG,CYBG,"522","-5",A,America/Toronto,-70.996399,48.330601
"29",Baker Lake Airport,Baker Lake,Canada,YBK,CYBK,"59","-6",A,America/Winnipeg,-96.077797,64.298897
"30",Campbell River Airport,Campbell River,Canada,YBL,CYBL,"346","-8",A,America/Vancouver,-125.271004,49.950802
"31",Brandon Municipal Airport,Brandon,Canada,YBR,CYBR,"1343","-6",A,America/Winnipeg,-99.951897,49.91
"32",Cambridge Bay Airport,Cambridge Bay,Canada,YCB,CYCB,"90","-7",A,America/Edmonton,-105.138,69.108101
"33",Nanaimo Airport,Nanaimo,Canada,YCD,CYCD,"92","-8",A,America/Vancouver,-123.869863,49.05497
"34",Castlegar/West Kootenay Regional Airport,Castlegar,Canada,YCG,CYCG,"1624","-8",A,America/Vancouver,-117.632004,49.296398
"35",Miramichi Airport,Chatham,Canada,YCH,CYCH,"108","-4",A,America/Halifax,-65.449203,47.007801
"36",Charlo Airport,Charlo,Canada,YCL,CYCL,"132","-4",A,America/Halifax,-66.330299,47.990799
"37",Kugluktuk Airport,Coppermine,Canada,YCO,CYCO,"74","-7",A,America/Edmonton,-115.143997,67.816704
"38",Coronation Airport,Coronation,Canada,YCT,CYCT,"2595","-7",A,America/Edmonton,-111.445,52.075001
"39",Chilliwack Airport,Chilliwack,Canada,YCW,CYCW,"32","-8",A,America/Vancouver,-121.939003,49.152802
"40",Clyde River Airport,Clyde River,Canada,YCY,CYCY,"87","-5",A,America/Toronto,-68.516701,70.486099
"41",Coral Harbour Airport,Coral Harbour,Canada,YZS,CYZS,"210","-5",A,America/Coral_Harbour,-83.359398,64.193298
"42",Dawson City Airport,Dawson,Canada,YDA,CYDA,"1215","-8",A,America/Vancouver,-139.128006,64.043098
"43",Burwash Airport,Burwash,Canada,YDB,CYDB,"2647","-8",A,America/Vancouver,-139.041,61.371101
"44",Princeton Airport,Princeton,Canada,\N,CYDC,"2298","-8",A,America/Vancouver,-120.511002,49.468102
"45",Deer Lake Airport,Deer Lake,Canada,YDF,CYDF,"72","-3.5",A,America/St_Johns,-57.391399,49.2108
"46",Dease Lake Airport,Dease Lake,Canada,YDL,CYDL,"2600","-8",A,America/Vancouver,-130.031998,58.422199
"47",Dauphin Barker Airport,Dauphin,Canada,YDN,CYDN,"999","-6",A,America/Winnipeg,-100.052002,51.1008
