id,ele,name,link,time,lat,lon
0,110,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:00:00.000,37.79459,-122.41489
1,110,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:00:01.000,37.79459,-122.41489
2,110,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:00:02.000,37.79459,-122.41489
3,110,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:00:03.000,37.79458,-122.41489
4,110,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:00:04.000,37.79457,-122.41489
5,110,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:00:05.000,37.79456,-122.41489
6,110,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:00:06.000,37.79455,-122.41489
7,110,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:00:07.000,37.79453,-122.41488
8,110,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:00:08.000,37.79452,-122.41487
9,110,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:00:09.000,37.7945,-122.41487
10,110,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:00:10.000,37.79449,-122.41486
11,111,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:00:11.000,37.79447,-122.41486
12,111,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:00:12.000,37.79446,-122.41485
13,111,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:00:13.000,37.79444,-122.41485
14,111,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:00:14.000,37.79443,-122.41484
15,111,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:00:15.000,37.79441,-122.41483
16,111,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:00:16.000,37.79439,-122.41482
17,111,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:00:17.000,37.79438,-122.41481
18,111,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:00:18.000,37.79436,-122.41479
19,111,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:00:19.000,37.79434,-122.41478
20,111,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:00:20.000,37.79432,-122.41476
21,111,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:00:21.000,37.7943,-122.41475
22,111,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:00:22.000,37.79428,-122.41473
23,111,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:00:23.000,37.79426,-122.41472
24,111,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:00:24.000,37.79424,-122.4147
25,111,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:00:25.000,37.79422,-122.4147
26,112,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:00:26.000,37.7942,-122.41469
27,112,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:00:27.000,37.79418,-122.4147
28,112,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:00:28.000,37.79416,-122.4147
29,112,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:00:29.000,37.79415,-122.41472
30,112,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:00:30.000,37.79413,-122.41473
31,113,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:00:31.000,37.79412,-122.41475
32,113,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:00:32.000,37.79412,-122.41477
33,113,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:00:33.000,37.79411,-122.41479
34,113,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:00:34.000,37.7941,-122.41481
35,113,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:00:35.000,37.79409,-122.41484
36,113,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:00:36.000,37.79409,-122.41486
37,113,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:00:37.000,37.79408,-122.41488
38,113,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:00:38.000,37.79408,-122.4149
39,113,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:00:39.000,37.79407,-122.41493
40,113,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:00:40.000,37.79407,-122.41495
41,114,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:00:41.000,37.79407,-122.41497
42,114,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:00:42.000,37.79406,-122.41499
43,114,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:00:43.000,37.79406,-122.41501
44,114,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:00:44.000,37.79406,-122.41503
45,114,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:00:45.000,37.79405,-122.41505
46,115,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:00:46.000,37.79405,-122.41507
47,115,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:00:47.000,37.79404,-122.41509
48,115,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:00:48.000,37.79404,-122.4151
49,115,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:00:49.000,37.79404,-122.41512
50,115,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:00:50.000,37.79403,-122.41513
51,115,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:00:51.000,37.79403,-122.41513
52,115,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:00:52.000,37.79403,-122.41513
53,115,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:00:53.000,37.79403,-122.41513
54,115,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:00:54.000,37.79403,-122.41513
55,115,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:00:55.000,37.79403,-122.41513
56,115,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:00:56.000,37.79403,-122.41513
57,115,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:00:57.000,37.79403,-122.41514
58,115,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:00:58.000,37.79403,-122.41515
59,115,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:00:59.000,37.79402,-122.41515
60,115,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:01:00.000,37.79401,-122.41515
61,115,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:01:01.000,37.79401,-122.41515
62,115,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:01:02.000,37.794,-122.41515
63,115,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:01:03.000,37.79399,-122.41515
64,115,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:01:04.000,37.79398,-122.41515
65,115,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:01:05.000,37.79397,-122.41515
66,115,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:01:06.000,37.79395,-122.41515
67,115,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:01:07.000,37.79394,-122.41515
68,115,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:01:08.000,37.79392,-122.41516
69,115,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:01:09.000,37.7939,-122.41516
70,115,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:01:10.000,37.79388,-122.41517
71,116,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:01:11.000,37.79386,-122.41517
72,116,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:01:12.000,37.79385,-122.41518
73,116,Bovine Run,https://www.strava.com/activities/9229748167,2023-06-08T00:01:13.000,37.79383,-122.41518
