FID,CITY_NAME,GMI_ADMIN,ADMIN_NAME,FIPS_CNTRY,CNTRY_NAME,STATUS,POP,POP_RANK,POP_CLASS,PORT_ID,LABEL_FLAG,POP_SOURCE,lat,long
"1",Cuiaba,BRA-MGR,Mato Grosso,BR,Brazil,Provincial capital,,"3","500,000 to 999,999","0","0",UN_Data_2010_2020,-15.6150000712,-56.0930036753
"2",Brasilia,BRA-DFD,Distrito Federal,BR,Brazil,National and provincial capital,,"2","1,000,000 to 4,999,999","0","0",UN_Data_2010_2020,-15.7921109431,-47.8977476574
"3",Goiania,BRA-GOI,Goias,BR,Brazil,Provincial capital,,"2","1,000,000 to 4,999,999","0","0",UN_Data_2010_2020,-16.7270039246,-49.2550016032
"4",Campo Grande,BRA-MGD,Mato Grosso do Sul,BR,Brazil,Provincial capital,,"3","500,000 to 999,999","0","0",UN_Data_2010_2020,-20.4509970534,-54.6159956593
"5",Pedro Juan Caballero,PRY-AMM,Amambay,PA,Paraguay,Provincial capital,,"0",,"0","0",,-22.5330030669,-55.7479977164
"6",Salto del Guaira,PRY-CNN,Canindeyu,PA,Paraguay,Provincial capital,,"0",,"0","0",,-24.0499980579,-54.2833016847
"7",Puerto Presidente Stroessner,PRY-APA,Alto Parana,PA,Paraguay,Provincial capital,,"0",,"0","0",,-25.5269969723,-54.6229976039
"8",Encarnacion,PRY-ITA,Itapua,PA,Paraguay,Provincial capital,,"0",,"0","0",,-27.3770010187,-55.8510026890
"9",Posadas,ARG-MSN,Misiones,AR,Argentina,Provincial capital,,"4","250,000 to 499,999","0","0",UN_Data_2010_2020,-27.3979980818,-55.9060016796
"10",Puerto Maldonado,PER-MDD,Madre de Dios,PE,Peru,Provincial capital,,"0",,"0","0",,-12.6029970757,-69.1919995626
"11",Cuzco,PER-CUS,Cusco,PE,Peru,Provincial capital,,"4","250,000 to 499,999","0","0",UN_Data_2010_2020,-13.5260010492,-71.9870036705
