server,url
Sammeldienst Kreis Viersen (QGIS Server),https://geo.kreis-viersen.de/ows/sammeldienst/wfs3
OSM-Daten Kreis Viersen (QGIS Server),https://geo.kreis-viersen.de/ows/osm-daten/wfs3
MS4W Demo OGCAPI Server (UMN MapServer),https://demo.mapserver.org/cgi-bin/mapserv/localdemo/ogcapi
NRW Topographie (Ldproxy),https://www.ldproxy.nrw.de/topographie
Montreal Building (Ldproxy),https://d123.ldproxy.net/montreal
CShapes Dataset of Historical Country Boundaries (Ldproxy),https://demo.ldproxy.net/cshapes
Daraa - Syria (Ldproxy),https://demo.ldproxy.net/daraa
OS Open Zoomstack (Ldproxy),https://demo.ldproxy.net/zoomstack
Straßennetz Landesbetrieb Straßenbau NRW,https://demo.ldproxy.net/strassen
Geoconnex (Pygeoapi),https://reference.geoconnex.us
US Geoplatform (Pygeoapi),https://geoapi.geoplatform.gov
Meteorological Services of Canada (Pygeoapi),https://api.weather.gc.ca
Pygeoapi Demo,https://demo.pygeoapi.io/master
