,id,title,date,address,thumbnail,division,division_url,latitude,longitude,SHAPE
891,http://www.loc.gov/item/97683565/, A view of Savannah as it stood the 29th of March 1734.,1734,"Savannah, Georgia",https://tile.loc.gov/storage-services/service/gmd/gmd392/g3924/g3924s/pm001305.gif,Geography and Map Division,https://www.loc.gov/rr/geogmap/,32.080910000000074,-81.09118999999998,"{'spatialReference': {'wkid': 4326}, 'x': -81.09118999999998, 'y': 32.080910000000074}"
9,http://www.loc.gov/item/gm71000970/,"Vue de Quebec, capitale du Canada.",1755,Québec,https://tile.loc.gov/storage-services/service/gmd/gmd3/g3454/g3454q/pm010733.gif,Geography and Map Division,https://www.loc.gov/rr/geogmap/,46.81389200000007,-71.20807399999995,"{'spatialReference': {'wkid': 4326}, 'x': -71.20807399999995, 'y': 46.81389200000007}"
206,http://www.loc.gov/item/93683271/,"Millers Falls, Mass.",1800,"Millers Falls, Massachusetts",https://tile.loc.gov/storage-services/service/gmd/gmd376/g3764/g3764m/pm003102.gif,Geography and Map Division,https://www.loc.gov/rr/geogmap/,42.57919000000004,-72.49490999999995,"{'spatialReference': {'wkid': 4326}, 'x': -72.49490999999995, 'y': 42.57919000000004}"
198,http://www.loc.gov/item/75694587/,"Market Street, Lynn, Mass., as it appeared in 1820.",1820,"Lynn, Massachusetts",https://tile.loc.gov/storage-services/service/gmd/gmd376/g3764/g3764l/pm003060.gif,Geography and Map Division,https://www.loc.gov/rr/geogmap/,42.464000000000055,-70.95072999999996,"{'spatialReference': {'wkid': 4326}, 'x': -70.95072999999996, 'y': 42.464000000000055}"
1508,http://www.loc.gov/item/98508574/, View of Pottsville Taken from Sharp Mountain & respectfully dedicated to the enterprising citizens of the Coal Region by J.R. Smith,1833,"Pottsville, Pennsylvania",https://tile.loc.gov/storage-services/service/gmd/gmd382/g3824/g3824p/pm008342.gif,Prints and Photographs,https://www.loc.gov/rr/print/,40.685460000000035,-76.19538999999997,"{'spatialReference': {'wkid': 4326}, 'x': -76.19538999999997, 'y': 40.685460000000035}"
1091,http://www.loc.gov/item/75693219/, "New Salem, home of Abraham Lincoln 1831 to 1837.",1837,"Menard County, Illinois",https://tile.loc.gov/storage-services/service/gmd/gmd410/g4104/g4104n/pm001760.gif,Geography and Map Division,https://www.loc.gov/rr/geogmap/,40.027395590000026,-89.80215817599998,"{'spatialReference': {'wkid': 4326}, 'x': -89.80215817599998, 'y': 40.027395590000026}"
985,http://www.loc.gov/item/2004629233/, Map of the city of Cincinnati,1838,"Cincinnati, Ohio",https://tile.loc.gov/storage-services/service/gmd/gmd408/g4084/g4084c/ct001308.gif,Geography and Map Division,https://www.loc.gov/rr/geogmap/,39.12711000000007,-84.51438999999993,"{'spatialReference': {'wkid': 4326}, 'x': -84.51438999999993, 'y': 39.12711000000007}"
154,http://www.loc.gov/item/75694889/, "East view of the village of North Bridgewater, Mass. 1844.",1844,"Brockton, Massachusetts",https://tile.loc.gov/storage-services/service/gmd/gmd376/g3764/g3764b/pm003150.gif,Geography and Map Division,https://www.loc.gov/rr/geogmap/,42.08336000000003,-71.01723999999996,"{'spatialReference': {'wkid': 4326}, 'x': -71.01723999999996, 'y': 42.08336000000003}"
1300,http://www.loc.gov/item/75694657/,"Map and view of St. Louis, Mo.",1848,"St Louis, Missouri",https://tile.loc.gov/storage-services/service/gmd/gmd416/g4164/g4164s/pm004380.gif,Geography and Map Division,https://www.loc.gov/rr/geogmap/,38.62775000000005,-90.19955999999996,"{'spatialReference': {'wkid': 4326}, 'x': -90.19955999999996, 'y': 38.62775000000005}"
1368,http://www.loc.gov/item/75694933/, Oregon City.,1850,"Oregon City, Oregon",https://tile.loc.gov/storage-services/service/gmd/gmd429/g4294/g4294o/pm007180.gif,Geography and Map Division,https://www.loc.gov/rr/geogmap/,45.336520000000064,-122.59211999999997,"{'spatialReference': {'wkid': 4326}, 'x': -122.59211999999997, 'y': 45.336520000000064}"
1494,http://www.loc.gov/item/93511486/, "Sacramento city, Ca. from the foot of J. Street, showing I., J., & K. Sts. with the Sierra Nevada in the distance",1850,"Sacramento, California",https://tile.loc.gov/storage-services/service/gmd/gmd436/g4364/g4364c/pm000312.gif,Prints and Photographs,https://www.loc.gov/rr/print/,38.579440000000034,-121.49084999999997,"{'spatialReference': {'wkid': 4326}, 'x': -121.49084999999997, 'y': 38.579440000000034}"
1505,http://www.loc.gov/item/96505338/, View of Sacramento City as it appeared during the great inundation in January 1850,1850,"Sacramento, California",https://tile.loc.gov/storage-services/service/gmd/gmd436/g4364/g4364s/pm000311.gif,Prints and Photographs,https://www.loc.gov/rr/print/,38.579440000000034,-121.49084999999997,"{'spatialReference': {'wkid': 4326}, 'x': -121.49084999999997, 'y': 38.579440000000034}"
1461,http://www.loc.gov/item/93500720/, Birds' eye view of New-Orleans,1851,"New Orleans, Louisiana",https://tile.loc.gov/storage-services/service/gmd/gmd401/g4014/g4014n/pm002401.gif,Prints and Photographs,https://www.loc.gov/rr/print/,29.953700000000026,-90.07774999999998,"{'spatialReference': {'wkid': 4326}, 'x': -90.07774999999998, 'y': 29.953700000000026}"
1459,http://www.loc.gov/item/90707101/, Bird's eye view of New-York & Brooklyn,1851,New York,https://tile.loc.gov/storage-services/service/gmd/gmd380/g3804/g3804n/pm005943.gif,Prints and Photographs,https://www.loc.gov/rr/print/,40.71455000000003,-74.00713999999994,"{'spatialReference': {'wkid': 4326}, 'x': -74.00713999999994, 'y': 40.71455000000003}"
1479,http://www.loc.gov/item/98508610/, New York,1851,New York,https://tile.loc.gov/storage-services/service/gmd/gmd380/g3804/g3804n/pm005942.gif,Prints and Photographs,https://www.loc.gov/rr/print/,40.71455000000003,-74.00713999999994,"{'spatialReference': {'wkid': 4326}, 'x': -74.00713999999994, 'y': 40.71455000000003}"
1504,http://www.loc.gov/item/98508581/,"View of San Francisco, Taken from the Western Hill at the foot of Telegraph Hill, looking toward Ringon Point and Mission Valley",1851,"San Francisco, California",https://tile.loc.gov/storage-services/service/gmd/gmd436/g4364/g4364s/pm000341.gif,Prints and Photographs,https://www.loc.gov/rr/print/,37.777120000000025,-122.41966999999994,"{'spatialReference': {'wkid': 4326}, 'x': -122.41966999999994, 'y': 37.777120000000025}"
354,http://www.loc.gov/item/2008620836/,"Map of Cazenovia, Madison Co., N.Y.",1852,"Cazenovia, New York",https://tile.loc.gov/storage-services/service/gmd/gmd380/g3804/g3804c/ct002395.gif,Geography and Map Division,https://www.loc.gov/rr/geogmap/,42.92960000000005,-75.84844999999996,"{'spatialReference': {'wkid': 4326}, 'x': -75.84844999999996, 'y': 42.92960000000005}"
1502,http://www.loc.gov/item/98515951/, View of Washington,1852,"Washington, District of Columbia",https://tile.loc.gov/storage-services/service/gmd/gmd385/g3851/g3851a/pm001067.gif,Prints and Photographs,https://www.loc.gov/rr/print/,38.890370000000075,-77.03195999999997,"{'spatialReference': {'wkid': 4326}, 'x': -77.03195999999997, 'y': 38.890370000000075}"
785,http://www.loc.gov/item/75696560/, "View of York, Pa.",1852,"York, Pennsylvania",https://tile.loc.gov/storage-services/service/gmd/gmd382/g3824/g3824y/pm008762.gif,Geography and Map Division,https://www.loc.gov/rr/geogmap/,39.96464000000003,-76.72433999999998,"{'spatialReference': {'wkid': 4326}, 'x': -76.72433999999998, 'y': 39.96464000000003}"
1239,http://www.loc.gov/item/78693711/,"City of St. Paul, capital of Minnesota",1853,"Saint Paul, Minnesota",https://tile.loc.gov/storage-services/service/gmd/gmd414/g4144/g4144s/pm004061.gif,Geography and Map Division,https://www.loc.gov/rr/geogmap/,44.94441000000006,-93.09326999999996,"{'spatialReference': {'wkid': 4326}, 'x': -93.09326999999996, 'y': 44.94441000000006}"
1489,http://www.loc.gov/item/94514736/, "Milwaukee, Wisconsin",1854,"Milwaukee, Wisconsin",https://tile.loc.gov/storage-services/service/gmd/gmd412/g4124/g4124m/pm010443.gif,Prints and Photographs,https://www.loc.gov/rr/print/,43.042230000000075,-87.90689999999995,"{'spatialReference': {'wkid': 4326}, 'x': -87.90689999999995, 'y': 43.042230000000075}"
1501,http://www.loc.gov/item/98515954/, View of Georgetown D.C.,1855,"Georgetown, Washington, District of Columbia",https://tile.loc.gov/storage-services/service/gmd/gmd385/g3852/g3852g/pm001068.gif,Prints and Photographs,https://www.loc.gov/rr/print/,38.905020000000036,-77.06279999999998,"{'spatialReference': {'wkid': 4326}, 'x': -77.06279999999998, 'y': 38.905020000000036}"
650,http://www.loc.gov/item/75694986/,"View of Harrisburg, Penn.",1855,"Harrisburg, Pennsylvania",https://tile.loc.gov/storage-services/service/gmd/gmd382/g3824/g3824h/pm007880.gif,Geography and Map Division,https://www.loc.gov/rr/geogmap/,40.25986000000006,-76.88222999999994,"{'spatialReference': {'wkid': 4326}, 'x': -76.88222999999994, 'y': 40.25986000000006}"
1490,http://www.loc.gov/item/98508631/,"Oswego, N.Y.",1855,"Oswego, New York",https://tile.loc.gov/storage-services/service/gmd/gmd380/g3804/g3804o/pm006091.gif,Prints and Photographs,https://www.loc.gov/rr/print/,43.45646000000005,-76.51118999999994,"{'spatialReference': {'wkid': 4326}, 'x': -76.51118999999994, 'y': 43.45646000000005}"
1438,http://www.loc.gov/item/98687127/, San Francisco.,1855,"San Francisco, California",https://tile.loc.gov/storage-services/service/gmd/gmd436/g4364/g4364s/pm000344.gif,Geography and Map Division,https://www.loc.gov/rr/geogmap/,37.777120000000025,-122.41966999999994,"{'spatialReference': {'wkid': 4326}, 'x': -122.41966999999994, 'y': 37.777120000000025}"
905,http://www.loc.gov/item/98687135/,"View of St. Augustine, East Florida.",1855,"St Augustine, Florida",https://tile.loc.gov/storage-services/service/gmd/gmd393/g3934/g3934s/pm001174.gif,Geography and Map Division,https://www.loc.gov/rr/geogmap/,29.892160000000047,-81.31410999999997,"{'spatialReference': {'wkid': 4326}, 'x': -81.31410999999997, 'y': 29.892160000000047}"
1208,http://www.loc.gov/item/75696730/,"View of the city of Whitewater, Wis. Walworth-County 1855.",1855,"Whitewater, Wisconsin",https://tile.loc.gov/storage-services/service/gmd/gmd412/g4124/g4124w/pm010670.gif,Geography and Map Division,https://www.loc.gov/rr/geogmap/,42.835000000000036,-88.73811999999998,"{'spatialReference': {'wkid': 4326}, 'x': -88.73811999999998, 'y': 42.835000000000036}"
1465,http://www.loc.gov/item/90715981/, City of New York,1856,New York,https://tile.loc.gov/storage-services/service/gmd/gmd380/g3804/g3804n/pm005945.gif,Prints and Photographs,https://www.loc.gov/rr/print/,40.71455000000003,-74.00713999999994,"{'spatialReference': {'wkid': 4326}, 'x': -74.00713999999994, 'y': 40.71455000000003}"
1483,http://www.loc.gov/item/98508512/,"Shasta, Shasta County, Cal.",1856,"Shasta, California",https://tile.loc.gov/storage-services/service/gmd/gmd436/g4364/g4364s/pm000482.gif,Prints and Photographs,https://www.loc.gov/rr/print/,40.59829000000008,-122.49094999999994,"{'spatialReference': {'wkid': 4326}, 'x': -122.49094999999994, 'y': 40.59829000000008}"
819,http://www.loc.gov/item/97684108/,"View of the University of Virginia, Charlottesville & Monticello, taken from Lewis Mountain",1856,"University Heights, University of Virginia, Virginia",https://tile.loc.gov/storage-services/service/gmd/gmd388/g3884/g3884c/pm009532.gif,Geography and Map Division,https://www.loc.gov/rr/geogmap/,38.04097000000007,-78.52223999999995,"{'spatialReference': {'wkid': 4326}, 'x': -78.52223999999995, 'y': 38.04097000000007}"
1503,http://www.loc.gov/item/98509691/,"Panoramic view of Washington City from the new dome of the Capitol, looking west",1856,"Washington, District of Columbia",https://tile.loc.gov/storage-services/service/gmd/gmd385/g3851/g3851a/pm001069.gif,Prints and Photographs,https://www.loc.gov/rr/print/,38.890370000000075,-77.03195999999997,"{'spatialReference': {'wkid': 4326}, 'x': -77.03195999999997, 'y': 38.890370000000075}"
1054,http://www.loc.gov/item/75693204/, Chicago.,1857,"Chicago, Illinois",https://tile.loc.gov/storage-services/service/gmd/gmd410/g4104/g4104c/pm001460.gif,Geography and Map Division,https://www.loc.gov/rr/geogmap/,41.884250000000065,-87.63244999999995,"{'spatialReference': {'wkid': 4326}, 'x': -87.63244999999995, 'y': 41.884250000000065}"
