column_0,src_aoi,dest_aoi,trips_total,devices_total,trips_2016Q1,trips_2016Q2,trips_2016Q3,trips_2016Q4,trips_2017Q1,trips_2017Q2,trips_2017Q3,trips_2017Q4,trips_2018Q1,trips_2018Q2,trips_2018Q3,trips_2018Q4,trips_2019Q1,trips_2019Q2,devices_2016Q1,devices_2016Q2,devices_2016Q3,devices_2016Q4,devices_2017Q1,devices_2017Q2,devices_2017Q3,devices_2017Q4,devices_2018Q1,devices_2018Q2,devices_2018Q3,devices_2018Q4,devices_2019Q1,devices_2019Q2,src_group,src_lat,src_lon,dest_group,dest_lat,dest_lon
0,abc_inco_porto_franco,agrex_porto_franco,16,7,0,0,0,0,0,0,0,0,4,9,2,0,1,0,0,0,0,0,0,0,0,0,1,3,2,0,1,0,Processor,-6.457716829698047,-47.40404019513383,Silo,-6.4529053001877825,-47.408396016957084
1,abc_inco_porto_franco,bunge_porto_franco,29,11,0,0,0,0,1,0,0,0,2,4,0,0,21,1,0,0,0,0,1,0,0,0,2,3,0,0,4,1,Processor,-6.457716829698047,-47.40404019513383,Bunge,-6.456285172910133,-47.41252413522379
2,abc_inco_porto_franco,bunge_porto_nacional,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Processor,-6.457716829698047,-47.40404019513383,Bunge,-10.67826636733225,-48.39236147806783
3,abc_inco_porto_franco,cargill_balsas,2,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,Processor,-6.457716829698047,-47.40404019513383,Cargill,-7.515752950372763,-46.055375000899964
4,abc_inco_porto_franco,cargill_campos_lindos,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Processor,-6.457716829698047,-47.40404019513383,Cargill,-8.087188073403668,-46.660457381524154
5,abc_inco_porto_franco,port_tegram_itaqui,2,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Processor,-6.457716829698047,-47.40404019513383,Port,-2.5678155893113224,-44.36412112327756
6,abc_inco_porto_franco,slc_fazenda_planeste,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Processor,-6.457716829698047,-47.40404019513383,SLC Agricola,-8.554625570417382,-46.85891705752508
7,abc_inco_porto_franco,slc_parnagua,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Processor,-6.457716829698047,-47.40404019513383,SLC Agricola,-9.099242155127033,-45.61740838284116
8,abc_inco_porto_franco,unnamed_farm_016,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Processor,-6.457716829698047,-47.40404019513383,Farm,-7.876918792001586,-46.362967305006364
9,abc_inco_porto_franco,unnamed_farm_021,3,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Processor,-6.457716829698047,-47.40404019513383,Farm,-4.834904560026417,-47.28702273108103
10,abc_inco_porto_franco,unnamed_silo_2,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Processor,-6.457716829698047,-47.40404019513383,Silo,-8.042865536955613,-45.99720270422564
11,agrex_balsas,agrex_porto_franco,4,3,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,Silo,-7.521072490374383,-46.061578757784936,Silo,-6.4529053001877825,-47.408396016957084
12,agrex_balsas,cargill_balsas,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Silo,-7.521072490374383,-46.061578757784936,Cargill,-7.515752950372763,-46.055375000899964
13,agrex_balsas,unnamed_silo_2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Silo,-7.521072490374383,-46.061578757784936,Silo,-8.042865536955613,-45.99720270422564
14,agrex_porto_franco,abc_inco_porto_franco,16,9,0,0,0,0,0,0,0,0,3,10,2,0,1,0,0,0,0,0,0,0,0,0,1,6,1,0,1,0,Silo,-6.4529053001877825,-47.408396016957084,Processor,-6.457716829698047,-47.40404019513383
15,agrex_porto_franco,agrex_balsas,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Silo,-6.4529053001877825,-47.408396016957084,Silo,-7.521072490374383,-46.061578757784936
16,agrex_porto_franco,bunge_porto_franco,21,5,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,Silo,-6.4529053001877825,-47.408396016957084,Bunge,-6.456285172910133,-47.41252413522379
17,agrex_porto_franco,cargill_balsas,4,4,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,Silo,-6.4529053001877825,-47.408396016957084,Cargill,-7.515752950372763,-46.055375000899964
18,agrex_porto_franco,fazenda_parnaiba,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Silo,-6.4529053001877825,-47.408396016957084,Farm,-8.515402891583227,-46.07724974651918
19,agrex_porto_franco,port_tegram_itaqui,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,Silo,-6.4529053001877825,-47.408396016957084,Port,-2.5678155893113224,-44.36412112327756
20,agropecuaria_vertente,bunge_luziana,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Farm,-15.70306215165923,-46.96555876083561,Bunge,-16.123800508168877,-47.9605291390967
21,agropecuaria_vertente,unnamed_farm_047,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Farm,-15.70306215165923,-46.96555876083561,Farm,-15.854946129848773,-46.78375561140868
22,alz_coaceral,alz_lem,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,ALZ,-10.56947881320294,-45.616555755055316,ALZ,-12.105648435253842,-45.92666704751776
23,alz_coaceral,bunge_coaceral,14,10,0,0,0,0,0,0,0,0,0,5,3,3,0,3,0,0,0,0,0,0,0,0,0,3,1,3,0,3,ALZ,-10.56947881320294,-45.616555755055316,Bunge,-10.557504018190185,-45.605890263759775
24,alz_coaceral,cargill_coaceral,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,ALZ,-10.56947881320294,-45.616555755055316,Cargill,-10.563250890430195,-45.656194044585526
