column_0,Name,Description,AOI Group,geometry,centroid,centroid_lat,centroid_lon,timezone
0,bunge_bom_jesus,,Bunge,"MULTIPOLYGON (((-44.88003186003026 -9.275875873441231, -44.87710028624485 -9.27610852183696, -44.87756626054593 -9.280963122086744, -44.88072153636677 -9.280821412743151, -44.88003186003026 -9.275875873441231)))",POINT (-44.87886371113679 -9.278470271396909),-9.278470271396909,-44.87886371113679,America/Fortaleza
1,bunge_sao_domingos_do_azeitao,,Bunge,"MULTIPOLYGON (((-44.71044934628223 -6.83599050365697, -44.70772300810341 -6.836688290673393, -44.70839123754961 -6.839313427761194, -44.71138634484728 -6.838466569554072, -44.71044934628223 -6.83599050365697)))",POINT (-44.70948769578075 -6.83763809551261),-6.83763809551261,-44.70948769578075,America/Fortaleza
2,bunge_porto_nacional,,Bunge,"MULTIPOLYGON (((-48.39117289160816 -10.67687627523878, -48.39060106728337 -10.67872650942499, -48.39351250605976 -10.67970600210053, -48.39410158906016 -10.67773418843511, -48.39117289160816 -10.67687627523878)))",POINT (-48.39236147806783 -10.67826636733225),-10.67826636733225,-48.39236147806783,America/Araguaina
3,bunge_lem,,Bunge,"MULTIPOLYGON (((-45.82027810338325 -12.09435176062129, -45.81329436267526 -12.09336588116385, -45.81362405273191 -12.09109731784312, -45.81791213291556 -12.09153215082755, -45.81824899410293 -12.08909221045094, -45.82102376313031 -12.08947349227711, -45.82027810338325 -12.09435176062129)))",POINT (-45.81771347563055 -12.09204801748077),-12.092048017480773,-45.81771347563055,America/Bahia
4,bunge_currais,,Bunge,"MULTIPOLYGON (((-44.62975633335662 -8.794672111873638, -44.62738465124218 -8.796337100739109, -44.62869361240445 -8.799884782814104, -44.63103937449247 -8.798219809903316, -44.62975633335662 -8.794672111873638)))",POINT (-44.62921674394464 -8.79727643633994),-8.79727643633994,-44.62921674394464,America/Fortaleza
5,bunge_garganta,,Bunge,"MULTIPOLYGON (((-46.2751528016835 -11.01848023521328, -46.27266817826385 -11.01628960107881, -46.2702423695807 -11.01887009609713, -46.27287750501023 -11.0210396846489, -46.2751528016835 -11.01848023521328)))",POINT (-46.27272260439458 -11.01867014738195),-11.01867014738195,-46.27272260439458,America/Bahia
6,bunge_ouro_verde,,Bunge,"MULTIPOLYGON (((-45.92164159520991 -11.53359003929459, -45.91946313445479 -11.53392726989605, -45.92025272524853 -11.53626406835389, -45.9225364647798 -11.53596651445311, -45.92164159520991 -11.53359003929459)))",POINT (-45.92098031028604 -11.53494402004875),-11.534944020048753,-45.92098031028604,America/Bahia
7,cargill_campos_lindos,,Cargill,"MULTIPOLYGON (((-46.66052965103037 -8.081755791682752, -46.65688799850849 -8.090019965574896, -46.66169579818271 -8.091458076580253, -46.66359845932652 -8.087326025542396, -46.66157304585266 -8.086232240244357, -46.66278011044074 -8.082606523281214, -46.66052965103037 -8.081755791682752)))",POINT (-46.66045738152415 -8.087188073403668),-8.087188073403668,-46.660457381524154,America/Araguaina
8,cargill_balsas,,Cargill,"MULTIPOLYGON (((-46.05655428030491 -7.515259459416536, -46.05628932351706 -7.515133106595853, -46.0530125794447 -7.514534592735274, -46.05472820649342 -7.516680088122769, -46.05766441570712 -7.516665963333, -46.05655428030491 -7.515259459416536)))",POINT (-46.05537500089996 -7.515752950372763),-7.515752950372763,-46.055375000899964,America/Fortaleza
9,cargill_estrondo,,Cargill,"MULTIPOLYGON (((-46.30518157327734 -11.49524809112467, -46.30747152155419 -11.49925615829807, -46.3001516291111 -11.50335496411712, -46.29779549736054 -11.49928210029668, -46.30518157327734 -11.49524809112467)))",POINT (-46.30263780993221 -11.49929077579717),-11.499290775797174,-46.30263780993221,America/Bahia
