id,ele,name,link,time,lat,lon
0,87.6,Bear Run,https://www.strava.com/activities/6013115759,2021-09-23T00:00:00.000,37.79395,-122.468514
1,87.8,Bear Run,https://www.strava.com/activities/6013115759,2021-09-23T00:00:01.000,37.79398,-122.468518
2,88,Bear Run,https://www.strava.com/activities/6013115759,2021-09-23T00:00:02.000,37.79401,-122.468523
3,88,Bear Run,https://www.strava.com/activities/6013115759,2021-09-23T00:00:03.000,37.79402,-122.468525
4,88.2,Bear Run,https://www.strava.com/activities/6013115759,2021-09-23T00:00:04.000,37.79404,-122.468529
5,88.2,Bear Run,https://www.strava.com/activities/6013115759,2021-09-23T00:00:05.000,37.79405,-122.468532
6,88.4,Bear Run,https://www.strava.com/activities/6013115759,2021-09-23T00:00:06.000,37.79408,-122.468528
7,88.4,Bear Run,https://www.strava.com/activities/6013115759,2021-09-23T00:00:07.000,37.79409,-122.468527
8,88.6,Bear Run,https://www.strava.com/activities/6013115759,2021-09-23T00:00:08.000,37.79412,-122.468534
9,88.7,Bear Run,https://www.strava.com/activities/6013115759,2021-09-23T00:00:09.000,37.79413,-122.468539
10,88.8,Bear Run,https://www.strava.com/activities/6013115759,2021-09-23T00:00:10.000,37.79415,-122.468561
11,88.9,Bear Run,https://www.strava.com/activities/6013115759,2021-09-23T00:00:11.000,37.79416,-122.468565
12,89,Bear Run,https://www.strava.com/activities/6013115759,2021-09-23T00:00:12.000,37.79418,-122.468582
13,89.2,Bear Run,https://www.strava.com/activities/6013115759,2021-09-23T00:00:13.000,37.7942,-122.468595
14,89.2,Bear Run,https://www.strava.com/activities/6013115759,2021-09-23T00:00:14.000,37.79422,-122.468602
15,89.4,Bear Run,https://www.strava.com/activities/6013115759,2021-09-23T00:00:15.000,37.79425,-122.468624
16,89.5,Bear Run,https://www.strava.com/activities/6013115759,2021-09-23T00:00:16.000,37.79427,-122.468632
17,89.7,Bear Run,https://www.strava.com/activities/6013115759,2021-09-23T00:00:17.000,37.7943,-122.468657
18,89.8,Bear Run,https://www.strava.com/activities/6013115759,2021-09-23T00:00:18.000,37.79432,-122.468668
19,89.9,Bear Run,https://www.strava.com/activities/6013115759,2021-09-23T00:00:19.000,37.79436,-122.468685
20,90,Bear Run,https://www.strava.com/activities/6013115759,2021-09-23T00:00:20.000,37.79437,-122.468692
21,90.1,Bear Run,https://www.strava.com/activities/6013115759,2021-09-23T00:00:21.000,37.79439,-122.468711
22,90.3,Bear Run,https://www.strava.com/activities/6013115759,2021-09-23T00:00:22.000,37.79442,-122.468726
23,90.4,Bear Run,https://www.strava.com/activities/6013115759,2021-09-23T00:00:23.000,37.79445,-122.468753
24,90.5,Bear Run,https://www.strava.com/activities/6013115759,2021-09-23T00:00:24.000,37.79446,-122.468763
25,90.7,Bear Run,https://www.strava.com/activities/6013115759,2021-09-23T00:00:25.000,37.79449,-122.468793
26,90.8,Bear Run,https://www.strava.com/activities/6013115759,2021-09-23T00:00:26.000,37.7945,-122.468804
27,90.9,Bear Run,https://www.strava.com/activities/6013115759,2021-09-23T00:00:27.000,37.79453,-122.468816
28,91.1,Bear Run,https://www.strava.com/activities/6013115759,2021-09-23T00:00:28.000,37.79456,-122.468833
29,91.2,Bear Run,https://www.strava.com/activities/6013115759,2021-09-23T00:00:29.000,37.79457,-122.468841
30,91.4,Bear Run,https://www.strava.com/activities/6013115759,2021-09-23T00:00:30.000,37.7946,-122.46887
31,91.5,Bear Run,https://www.strava.com/activities/6013115759,2021-09-23T00:00:31.000,37.79461,-122.468881
32,91.7,Bear Run,https://www.strava.com/activities/6013115759,2021-09-23T00:00:32.000,37.79464,-122.468904
33,91.9,Bear Run,https://www.strava.com/activities/6013115759,2021-09-23T00:00:33.000,37.79467,-122.468921
34,92.1,Bear Run,https://www.strava.com/activities/6013115759,2021-09-23T00:00:34.000,37.7947,-122.468926
35,92.1,Bear Run,https://www.strava.com/activities/6013115759,2021-09-23T00:00:35.000,37.79471,-122.468929
36,92.5,Bear Run,https://www.strava.com/activities/6013115759,2021-09-23T00:00:36.000,37.79474,-122.468937
37,92.5,Bear Run,https://www.strava.com/activities/6013115759,2021-09-23T00:00:37.000,37.79475,-122.468942
38,93,Bear Run,https://www.strava.com/activities/6013115759,2021-09-23T00:00:38.000,37.79478,-122.468907
39,93.1,Bear Run,https://www.strava.com/activities/6013115759,2021-09-23T00:00:39.000,37.79479,-122.46889
40,93.3,Bear Run,https://www.strava.com/activities/6013115759,2021-09-23T00:00:40.000,37.7948,-122.468863
41,93.5,Bear Run,https://www.strava.com/activities/6013115759,2021-09-23T00:00:41.000,37.79483,-122.468827
