,id,time,latitude,longitude,elevation,name
0,0,2023-08-27 22:34:20+00:00,10.73101,106.623658,-37.8,Morning Run
1,1,2023-08-27 22:34:21+00:00,10.73101,106.623658,-37.8,Morning Run
2,2,2023-08-27 22:34:30+00:00,10.73101,106.623658,-37.6,Morning Run
3,3,2023-08-27 22:34:31+00:00,10.73101,106.623658,-37.6,Morning Run
4,4,2023-08-27 22:34:32+00:00,10.73101,106.623658,-37.6,Morning Run
5,5,2023-08-27 22:34:33+00:00,10.73101,106.623658,-37.6,Morning Run
6,6,2023-08-27 22:34:34+00:00,10.73101,106.623658,-37.6,Morning Run
7,7,2023-08-27 22:34:35+00:00,10.73101,106.623658,-37.6,Morning Run
8,8,2023-08-27 22:34:41+00:00,10.73101,106.623658,-38.2,Morning Run
9,9,2023-08-27 22:34:43+00:00,10.73101,106.623658,-38.2,Morning Run
10,10,2023-08-27 22:34:53+00:00,10.73101,106.623658,-38.2,Morning Run
11,11,2023-08-27 22:34:57+00:00,10.730992,106.623728,-38.2,Morning Run
12,12,2023-08-27 22:35:01+00:00,10.73106,106.623784,-38.2,Morning Run
13,13,2023-08-27 22:35:06+00:00,10.731111,106.623902,-38.2,Morning Run
14,14,2023-08-27 22:35:10+00:00,10.731118,106.624003,-38.0,Morning Run
15,15,2023-08-27 22:35:12+00:00,10.731119,106.624054,-38.0,Morning Run
16,16,2023-08-27 22:35:18+00:00,10.73112,106.624218,-38.0,Morning Run
17,17,2023-08-27 22:35:22+00:00,10.731125,106.624293,-38.2,Morning Run
18,18,2023-08-27 22:35:25+00:00,10.731122,106.624362,-38.2,Morning Run
19,19,2023-08-27 22:35:30+00:00,10.73112,106.62446,-37.8,Morning Run
20,20,2023-08-27 22:35:31+00:00,10.731118,106.624486,-37.8,Morning Run
21,21,2023-08-27 22:35:34+00:00,10.731113,106.624549,-37.8,Morning Run
22,22,2023-08-27 22:35:38+00:00,10.731144,106.624612,-38.0,Morning Run
23,23,2023-08-27 22:35:40+00:00,10.731154,106.624655,-37.8,Morning Run
24,24,2023-08-27 22:35:47+00:00,10.731169,106.62482,-37.8,Morning Run
25,25,2023-08-27 22:35:55+00:00,10.731157,106.625007,-37.8,Morning Run
26,26,2023-08-27 22:35:57+00:00,10.73115,106.625057,-37.8,Morning Run
27,27,2023-08-27 22:36:04+00:00,10.731147,106.625221,-38.0,Morning Run
28,28,2023-08-27 22:36:11+00:00,10.731146,106.625369,-38.0,Morning Run
29,29,2023-08-27 22:36:13+00:00,10.731149,106.625414,-38.0,Morning Run
30,30,2023-08-27 22:36:14+00:00,10.731153,106.625435,-38.0,Morning Run
31,31,2023-08-27 22:36:17+00:00,10.731157,106.625505,-38.2,Morning Run
32,32,2023-08-27 22:36:22+00:00,10.731139,106.625616,-38.2,Morning Run
33,33,2023-08-27 22:36:29+00:00,10.731154,106.625746,-38.2,Morning Run
34,34,2023-08-27 22:36:30+00:00,10.731156,106.625738,-38.2,Morning Run
35,35,2023-08-27 22:36:33+00:00,10.73114,106.625691,-38.2,Morning Run
36,36,2023-08-27 22:36:34+00:00,10.731129,106.625668,-38.2,Morning Run
37,37,2023-08-27 22:36:40+00:00,10.731059,106.625526,-38.0,Morning Run
38,38,2023-08-27 22:36:42+00:00,10.731046,106.625484,-37.8,Morning Run
39,39,2023-08-27 22:36:50+00:00,10.731049,106.62533,-37.8,Morning Run
40,40,2023-08-27 22:36:53+00:00,10.731045,106.625265,-37.8,Morning Run
41,41,2023-08-27 22:36:57+00:00,10.731022,106.625171,-37.6,Morning Run
