id,matram,kyhieu,longitude,latitude,latitude,wqi
1,QLPH012016,QL1,105.68,9.3,0.66,24
2,QLPH022016,QL2,105.53,9.26,0.54,39
3,QLPH032016,QL3,105.41,9.23,0.57,33
4,QLPH042016,QL4,105.31,9.19,0.41,49
5,QLPH052016,QL5,105.59,9.56,0.32,48
6,QLPH062016,QL6,105.46,9.44,0.44,38
7,QLPH072016,QL7,105.36,9.34,0.25,51
8,QLPH082016,QL8,105.30,9.28,0.31,32
9,QLPH092016,QL9,105.16,9.18,0.36,36
10,QLPH102016,QL10,105.23,9.36,0.19,33
11,QLPH112016,QL11,105.32,9.51,0.33,60
12,QLPH012017,QL1,105.68,9.3,0.64,32
13,QLPH022017,QL2,105.58,9.28,0.58,34
14,QLPH032017,QL3,105.45,9.24,0.46,34
15,QLPH042017,QL4,105.40,9.24,0.56,36
16,QLPH052017,QL5,105.29,9.19,0.39,33
17,QLPH062017,QL6,105.17,9.19,0.38,53
18,QLPH072017,QL7,105.39,9.37,0.40,43
19,QLPH082017,QL8,105.46,9.44,0.44,35
20,QLPH092017,QL9,105.51,9.49,0.41,35
21,QLPH102017,QL10,105.59,9.56,0.31,35
22,QLPH112017,QL11,105.46,9.55,0.41,50
23,QLPH122017,QL12,105.51,9.58,0.33,46
24,QLPH132017,QL13,105.42,9.59,0.35,64
25,QLPH142017,QL14,105.29,9.64,0.47,41
26,QLPH152017,QL15,105.27,9.41,0.40,44
27,QLPH012019,QL1,105.68,9.3,0.64,21
28,QLPH022019,QL2,105.59,9.28,0.60,22
29,QLPH032019,QL3,105.45,9.24,0.46,16
30,QLPH042019,QL4,105.40,9.24,0.56,23
31,QLPH052019,QL5,105.29,9.19,0.39,20
32,QLPH062019,QL6,105.17,9.19,0.38,20
33,QLPH072019,QL7,105.48,9.37,0.39,18
34,QLPH082019,QL8,105.46,9.44,0.44,17
35,QLPH092019,QL9,105.51,9.49,0.41,24
36,QLPH102019,QL10,105.59,9.56,0.31,22
37,QLPH112019,QL11,105.46,9.55,0.41,18
38,QLPH122019,QL12,105.51,9.58,0.33,19
39,QLPH132019,QL13,105.42,9.59,0.35,19
40,QLPH142019,QL14,105.29,9.64,0.47,29
41,QLPH152019,QL15,105.27,9.41,0.40,21
42,QLPH012020,QL1,105.68,9.3,0.64,27
43,QLPH022020,QL2,105.59,9.28,0.60,53
44,QLPH032020,QL3,105.45,9.24,0.46,28
45,QLPH042020,QL4,105.40,9.24,0.56,55
46,QLPH052020,QL5,105.29,9.19,0.39,47
47,QLPH062020,QL6,105.17,9.19,0.38,48
48,QLPH072020,QL7,105.48,9.37,0.39,50
49,QLPH082020,QL8,105.46,9.44,0.44,51
50,QLPH092020,QL9,105.51,9.49,0.41,61
51,QLPH102020,QL10,105.59,9.56,0.31,53
52,QLPH112020,QL11,105.46,9.55,0.41,66
53,QLPH122020,QL12,105.51,9.58,0.33,52
54,QLPH132020,QL13,105.42,9.59,0.35,59
55,QLPH142020,QL14,105.29,9.64,0.47,57
56,QLPH152020,QL15,105.27,9.41,0.40,40
57,QLPH012022,QL1,105.68,9.3,0.64,32
58,QLPH022022,QL2,105.59,9.28,0.60,27
59,QLPH032022,QL3,105.45,9.24,0.46,18
60,QLPH042022,QL4,105.40,9.24,0.56,22
61,QLPH052022,QL5,105.29,9.19,0.39,20
62,QLPH062022,QL6,105.17,9.19,0.38,16
63,QLPH072022,QL7,105.39,9.37,0.40,24
64,QLPH082022,QL8,105.52,9.49,0.41,50
65,QLPH092022,QL9,105.59,9.56,0.31,31
66,QLPH102022,QL10,105.42,9.59,0.35,30
67,QLPH112022,QL11,105.29,9.64,0.47,21
68,QLPH122022,QL12,105.27,9.41,0.40,27
69,QLPH132022,QL13,105.80,9.56,0.39,54
70,QLPH142022,DÄ2,105.27,9.41,0.40,42
71,QLPH152022,DÄ1,105.30,9.64,0.50,39
72,TGLX012016,TGLX1,105.06,10.44,1.24,42
73,TGLX022016,TGLX2,105.10,10.71,1.94,43
74,TGLX032016,TGLX3,105.13,10.27,-1.20,58
75,TGLX042016,TGLX4,105.06,10.44,1.24,58
76,TGLX052016,TGLX5,104.87,10.51,1.92,40
77,TGLX062016,TGLX6,104.64,10.53,0.33,45
78,TGLX072016,TGLX7,105.09,10.02,0.38,43
79,TGLX082016,TGLX8,104.93,10.19,0.58,42
80,TGLX092016,TGLX9,104.74,10.28,0.57,48
81,TGLX102016,TGLX10,104.52,10.37,0.25,68
82,TGLX112016,TGLX11,105.11,10.44,0.97,59
83,TGLX012017,TGLX1,105.06,10.44,1.24,64
84,TGLX022017,TGLX2,105.10,10.71,1.94,56
85,TGLX032017,TGLX3,105.13,10.27,-1.20,61
86,TGLX042017,TGLX4,105.06,10.44,1.24,68
87,TGLX052017,TGLX5,104.87,10.51,1.92,64
88,TGLX062017,TGLX6,104.64,10.53,0.33,53
89,TGLX072017,TGLX7,105.09,10.02,0.38,62
90,TGLX082017,TGLX8,104.93,10.19,0.58,64
91,TGLX092017,TGLX9,104.74,10.28,0.57,64
92,TGLX102017,TGLX10,104.52,10.37,0.25,52
93,TGLX112017,TGLX11,105.11,10.44,0.97,63
94,TGLX122017,TGLX12,105.11,10.44,0.97,55
95,TGLX132017,TGLX13,105.02,10.32,1.29,46
96,TGLX142017,TGLX14,104.86,10.36,0.99,63
97,TGLX152017,TGLX15,104.79,10.47,1.39,65
98,TGLX012019,TGLX1,105.06,10.44,1.24,52
99,TGLX022019,TGLX2,105.10,10.71,1.94,36
100,TGLX032019,TGLX3,105.13,10.27,-1.20,62
101,TGLX042019,TGLX4,105.06,10.44,1.24,50
102,TGLX052019,TGLX5,104.87,10.51,1.92,47
103,TGLX062019,TGLX6,104.64,10.53,0.33,55
104,TGLX072019,TGLX7,105.09,10.02,0.38,36
105,TGLX082019,TGLX8,104.93,10.19,0.58,56
106,TGLX092019,TGLX9,104.74,10.28,0.57,55
107,TGLX102019,TGLX10,104.52,10.37,0.25,35
108,TGLX112019,TGLX11,105.11,10.44,0.97,56
109,TGLX122019,TGLX12,105.11,10.44,0.97,33
110,TGLX132019,TGLX13,105.02,10.32,1.29,37
111,TGLX142019,TGLX14,104.86,10.36,0.99,34
112,TGLX152019,TGLX15,104.79,10.47,1.39,35
113,TGLX012020,TGLX1,105.48,10.31,0.91,26
114,TGLX022020,TGLX2,105.10,10.71,1.94,28
115,TGLX032020,TGLX3,106.35,11.32,1.24,12
116,TGLX042020,TGLX4,105.06,10.44,1.92,14
117,TGLX052020,TGLX5,104.87,10.51,0.33,32
118,TGLX062020,TGLX6,104.64,10.53,0.38,35
119,TGLX072020,TGLX7,105.09,10.02,0.58,24
120,TGLX082020,TGLX8,104.93,10.19,0.57,32
121,TGLX092020,TGLX9,104.74,10.28,0.25,28
122,TGLX102020,TGLX10,104.52,10.37,0.97,12
123,TGLX112020,TGLX11,105.11,10.44,0.99,23
124,TGLX122020,TGLX12,104.86,10.36,1.24,25
125,TGLX012021,TGLX1,105.06,10.44,1.94,54
126,TGLX022021,TGLX2,105.10,10.71,-1.20,58
127,TGLX032021,TGLX3,105.13,10.27,1.24,48
