id,Matram,Kyhieu,longitude,latitude,Z.Elev,ds,WQI_I,WQI_II,WQI_III,WQI_IV,WQI_V,y,WQI_Desc,WQI_Color,WQI_Weight,WQI_no_V,pH,Aldrin,BHC,Dieldrin,DDTs,Heptachlor,Heptachlorepoxide,As,Cd,Pb,Cr6,Cu,Zn,Hg,DO,T,BOD5,COD,TOC,N_NH4,N_NO3,N_NO2,P_PO4,Coliform,Ecoli,Salinity,TSS,CL
"0",QLPH012016,QL1,105.68,9.3,0.66,2016/02/29,62,68.13,78.6,72.55,32,24,Kém,"RGB(255,0,0)",18,16,8.88,0.021,0.048,0.047,0.052,0.04,0.013,0.021,0.004,0.009,0.007,0.001,0.074,0.002,7.095,"25",8.28,23.253,17.855,0.163,0.93,0.18,0,1300,"92",3.6,4.4,1949
"1",QLPH012016,QL1,105.68,9.3,0.66,2016/03/15,100,68.13,74.18,67.53,53.33,34,Xấu,"RGB(255,126,0)",32,30,8.3,0.022,0.021,0.019,0.019,0.041,0.013,0.021,0.006,0.009,0.008,0.001,0.019,0.002,6.913,"25",8.3,20.133,16.598,0.53,0.88,0.2,0,1100,"24",4.6,72.52,271.29
"2",QLPH012016,QL1,105.68,9.3,0.66,2016/04/02,100,68.13,75.09,70.96,54.17,36,Xấu,"RGB(255,126,0)",33,32,7.62,0.02,0.021,0.019,0.021,0.031,0.012,0.016,0.006,0.005,0.012,0.002,0.018,0.002,5.28,"25",8.61,17.552,13.335,0.129,0.463,0.31,0,1800,"22",5.4,115.6,3261.4
"3",QLPH012016,QL1,105.68,9.3,0.66,2016/04/15,100,68.13,74.65,66.22,49.17,34,Xấu,"RGB(255,126,0)",30,29,8.44,0.021,0.025,0.023,0.028,0.031,0.013,0.019,0.006,0.001,0.008,0.008,0.027,0.002,6.235,"25",8.62,19.609,15.416,0.5,0.14,0.21,0,7600,"34",5.1,76.52,3819
"4",QLPH012016,QL1,105.68,9.3,0.66,2016/05/02,92,68.13,71.19,71.34,34,32,Xấu,"RGB(255,126,0)",25,22,8.58,0.024,0.047,0.044,0.049,0.044,0.014,0.021,0.008,0.009,0.006,0.004,0.067,0.002,6.945,"25",10.32,23.696,17.77,0.1,0.9,0.15,0,3500,"84",5.6,52.6,3574
"5",QLPH012016,QL1,105.68,9.3,0.66,2016/05/16,100,68.13,84.2,66.04,34.75,38,Xấu,"RGB(255,126,0)",31,27,7.35,0.017,0.041,0.038,0.046,0.033,0.01,0.018,0.008,0.003,0.004,0.003,0.065,0.001,5.888,"25",10.02,21.702,15.555,0.36,0.3,0.1,0,2800,"81",3,45.62,1391.2
"6",QLPH012016,QL1,105.68,9.3,0.66,2016/06/02,100,100,86.07,71,55,61,Trung bình,"RGB(255,255,0)",56,54,7.23,0.017,0.015,0.012,0.014,0.033,0.01,0.018,0.007,0.003,0.006,0,0.014,0.001,6.008,"25",9.34,18.932,14.862,0.14,0.3,0.15,0,100,"18",2.2,125.5,1195.6
"7",QLPH012016,QL1,105.68,9.3,0.66,2016/06/15,100,68.13,88.12,64.58,45,39,Xấu,"RGB(255,126,0)",34,32,7.28,0.023,0.032,0.03,0.032,0.037,0.014,0.017,0.006,0.009,0.005,0.009,0.035,0.001,5.533,"25",8.95,19.049,14.186,0.58,0.88,0.12,0,9200,"44",1.2,87.2,795.4
"8",QLPH022016,QL2,105.53,9.26,0.54,2016/02/29,100,68.13,79.81,71.86,35.25,39,Xấu,"RGB(255,126,0)",31,27,8.36,0.02,0.043,0.042,0.052,0.026,0.012,0.017,0.003,0.001,0.01,0.008,0.063,0.002,5.803,"25",5.96,19.451,14.718,0.163,0.13,0.26,0,7900,"79",1.6,56.21,918
"9",QLPH022016,QL2,105.53,9.26,0.54,2016/03/15,100,68.13,79.81,72.68,47.92,40,Xấu,"RGB(255,126,0)",34,32,7.84,0.018,0.024,0.024,0.029,0.025,0.011,0.017,0.003,0.001,0.007,0.008,0.03,0.002,5.785,"25",5.8,17.592,14.106,0.15,0.1,0.17,0,8100,"37",1.7,67.25,16.78
"10",QLPH022016,QL2,105.53,9.26,0.54,2016/04/02,100,100,75.56,69.28,55,52,Trung bình,"RGB(255,255,0)",48,47,7.7,0.024,0.019,0.017,0.016,0.04,0.015,0.02,0.005,0.009,0.008,0.006,0.01,0.002,6.8,"25",7.62,19.11,16.107,0.388,0.875,0.2,0,6400,"12",1.9,78.95,14.275
"11",QLPH022016,QL2,105.53,9.26,0.54,2016/04/15,100,68.13,88.86,62.33,43.33,38,Xấu,"RGB(255,126,0)",33,31,7.33,0.016,0.028,0.026,0.029,0.03,0.01,0.015,0.006,0.005,0.006,0.001,0.038,0.001,4.908,"25",8.16,17.805,12.856,0.8,0.5,0.15,0,1300,"48",1.8,86.21,921
"12",QLPH022016,QL2,105.53,9.26,0.54,2016/05/02,100,68.13,69.38,72.68,55,34,Xấu,"RGB(255,126,0)",31,30,7.73,0.034,0.031,0.029,0.033,0.036,0.02,0.02,0.005,0.006,0.036,0.001,0.014,0.002,6.508,"25",7.64,18.853,15.587,0.2,0.6,0.9,0,1100,"17",2.3,61.15,1258.9
"13",QLPH022016,QL2,105.53,9.26,0.54,2016/05/16,100,100,85.68,67.6,52.92,58,Trung bình,"RGB(255,255,0)",53,51,7.14,0.019,0.019,0.017,0.018,0.034,0.011,0.019,0.007,0.004,0.006,0.003,0.02,0.001,6.285,"25",9,19.505,15.459,0.37,0.37,0.14,0,2500,"25",2,91.21,1152.1
"14",QLPH022016,QL2,105.53,9.26,0.54,2016/06/02,100,100,85.63,70.15,55,60,Trung bình,"RGB(255,255,0)",55,53,7.06,0.018,0.016,0.013,0.016,0.027,0.011,0.014,0.008,0.001,0.01,0.003,0.01,0.001,4.825,"25",10,17.132,12.521,0.23,0.13,0.26,0,2800,"13",1.7,11.8,1195.5
"15",QLPH022016,QL2,105.53,9.26,0.54,2016/06/15,100,68.13,88.12,63.67,50.42,38,Xấu,"RGB(255,126,0)",35,34,6.98,0.018,0.022,0.02,0.024,0.029,0.011,0.017,0.006,0.002,0.008,0.004,0.025,0.001,5.645,"25",8.74,18.585,14.209,0.7,0.16,0.2,0,3500,"31",1.1,135.5,726.3
"16",QLPH032016,QL3,105.41,9.23,0.57,2016/02/29,100,68.13,74.82,65.17,48.75,33,Xấu,"RGB(255,126,0)",30,29,7.79,0.021,0.025,0.024,0.028,0.029,0.012,0.018,0.005,0.002,0.015,0.001,0.028,0.002,6.073,"25",7.35,18.751,14.902,0.638,0.21,0.38,0,700,"35",27.2,912.56,1694
"17",QLPH032016,QL3,105.41,9.23,0.57,2016/03/15,100,100,79.23,72.47,55,57,Trung bình,"RGB(255,255,0)",52,50,7.77,0.02,0.017,0.016,0.017,0.028,0.012,0.017,0.004,0.004,0.012,0.005,0.01,0.002,5.58,"25",6.18,16.408,13.425,0.24,0.38,0.3,0,4700,"12",28.4,15.6,19852
"18",QLPH032016,QL3,105.41,9.23,0.57,2016/04/02,100,68.13,76.6,62.67,37.75,33,Xấu,"RGB(255,126,0)",28,25,7.65,0.018,0.038,0.036,0.043,0.03,0.011,0.017,0.005,0.005,0.01,0.001,0.055,0.002,5.513,"25",7.02,19.093,14.17,0.825,0.45,0.25,0,1300,"69",32.4,97.32,14959.9
"19",QLPH032016,QL3,105.41,9.23,0.57,2016/04/15,100,68.13,74.77,61.9,55,32,Xấu,"RGB(255,126,0)",30,30,7.65,0.024,0.021,0.019,0.018,0.039,0.014,0.017,0.006,0.01,0.012,0.003,0.012,0.002,5.813,"25",8.7,18.17,14.329,0.9,0.99,0.3,0,2500,"15",34.5,65.21,18497
"20",QLPH032016,QL3,105.41,9.23,0.57,2016/05/02,100,68.13,76.04,63.73,42.92,33,Xấu,"RGB(255,126,0)",29,27,7.85,0.023,0.034,0.032,0.038,0.031,0.014,0.017,0.005,0.004,0.012,0.008,0.039,0.002,5.825,"25",7.28,18.897,14.577,0.75,0.44,0.3,0,7600,"49",34.3,115.8,19.4
"21",QLPH032016,QL3,105.41,9.23,0.57,2016/05/16,100,100,76.26,68.24,55,52,Trung bình,"RGB(255,255,0)",48,47,7.71,0.021,0.017,0.015,0.013,0.037,0.013,0.018,0.005,0.008,0.01,0.001,0.009,0.002,6.053,"25",7.62,17.854,14.589,0.36,0.83,0.24,0,1300,"11",33.4,62.15,2145.4
"22",QLPH032016,QL3,105.41,9.23,0.57,2016/06/02,100,68.13,87.17,70.77,45.42,42,Xấu,"RGB(255,126,0)",36,34,7.27,0.022,0.031,0.029,0.033,0.031,0.013,0.016,0.006,0.004,0.014,0.004,0.034,0.001,5.493,"25",8.65,18.792,14.045,0.26,0.4,0.35,0,3500,"43",23.8,92.1,1185.6
"23",QLPH032016,QL3,105.41,9.23,0.57,2016/06/15,100,68.13,72.29,65.16,44.58,32,Xấu,"RGB(255,126,0)",28,27,7.5,0.024,0.034,0.031,0.033,0.039,0.015,0.017,0.008,0.009,0.01,0.005,0.036,0.002,5.7,"25",10,19.888,14.702,0.48,0.85,0.25,0,5400,"45",29.7,15.8,19115
"24",QLPH042016,QL4,105.31,9.19,0.41,2016/02/29,100,100,76.68,64.55,55,49,Xấu,"RGB(255,126,0)",47,46,7.76,0.021,0.02,0.019,0.022,0.026,0.013,0.015,0.005,0.002,0.012,0.008,0.014,0.002,5.165,"25",7.12,16.453,12.817,0.688,0.24,0.29,0,7900,"18",27.6,676.52,1564
"25",QLPH042016,QL4,105.31,9.19,0.41,2016/03/15,100,68.13,79.6,71.48,41.5,39,Xấu,"RGB(255,126,0)",32,30,7.82,0.018,0.033,0.032,0.038,0.025,0.011,0.014,0.004,0.004,0.014,0.001,0.043,0.002,4.655,"25",6.14,16.634,12.109,0.29,0.35,0.35,0,1300,"54",29.2,315.4,19922.9
"26",QLPH042016,QL4,105.31,9.19,0.41,2016/04/02,100,100,78.88,64.12,55,51,Trung bình,"RGB(255,255,0)",48,47,7.79,0.021,0.019,0.017,0.018,0.032,0.012,0.018,0.004,0.006,0.012,0.002,0.014,0.002,5.885,"25",6.64,17.341,14.177,0.788,0.563,0.29,0,2100,"17",3.6,178.6,13435.55
"27",QLPH042016,QL4,105.31,9.19,0.41,2016/04/15,100,68.13,76.26,63.4,55,33,Xấu,"RGB(255,126,0)",31,31,7.84,0.023,0.021,0.019,0.02,0.036,0.014,0.018,0.005,0.007,0.009,0.007,0.014,0.002,6.085,"25",7.98,18.378,14.803,0.8,0.7,0.22,0,6900,"18",33.9,15.64,17788
"28",QLPH042016,QL4,105.31,9.19,0.41,2016/05/02,100,68.13,75.64,70.18,31.25,36,Xấu,"RGB(255,126,0)",28,24,7.87,0.019,0.049,0.047,0.055,0.031,0.011,0.016,0.006,0.005,0.007,0.003,0.076,0.002,5.343,"25",8.3,20.54,14.371,0.25,0.51,0.18,0,3300,"95",34.2,17.24,18654.2
"29",QLPH042016,QL4,105.31,9.19,0.41,2016/05/16,100,68.13,76.6,67.22,39,35,Xấu,"RGB(255,126,0)",29,27,7.77,0.019,0.036,0.034,0.038,0.036,0.012,0.017,0.005,0.008,0.006,0.002,0.051,0.002,5.768,"25",7.97,19.774,14.767,0.36,0.77,0.15,0,2200,"64",34.6,54.23,1924.5
"30",QLPH042016,QL4,105.31,9.19,0.41,2016/06/02,100,68.13,86.45,63.87,39,38,Xấu,"RGB(255,126,0)",32,29,7.39,0.024,0.041,0.038,0.045,0.032,0.014,0.017,0.006,0.004,0.015,0.005,0.051,0.001,5.71,"25",8.98,20.185,14.811,0.63,0.36,0.38,0,4900,"64",28,78.6,16975.2
"31",QLPH042016,QL4,105.31,9.19,0.41,2016/06/15,100,68.13,73.51,68.68,54.58,34,Xấu,"RGB(255,126,0)",32,31,7.54,0.028,0.026,0.024,0.024,0.041,0.017,0.02,0.005,0.01,0.017,0.004,0.017,0.002,6.76,"25",7.98,19.6,16.201,0.41,0.95,0.42,0,3500,"21",25.4,126.54,13.4
"32",QLPH052016,QL5,105.59,9.56,0.32,2016/02/29,100,100,74.82,63.55,55,48,Xấu,"RGB(255,126,0)",45,44,7.61,0.02,0.013,0.011,0.012,0.027,0.012,0.015,0.006,0.003,0.014,0.003,0.001,0.002,4.903,"25",8.25,15.883,12.243,0.738,0.3,0.34,0,2900,"1",0.2,7.56,15
"33",QLPH052016,QL5,105.59,9.56,0.32,2016/03/15,100,100,78.64,72.22,55,57,Trung bình,"RGB(255,255,0)",52,50,7.56,0.022,0.019,0.018,0.021,0.025,0.013,0.015,0.004,0.003,0.016,0.008,0.009,0.002,5.003,"25",6.14,15.407,12.243,0.24,0.26,0.4,0,7600,"11",0.3,248.6,241.6
"34",QLPH052016,QL5,105.59,9.56,0.32,2016/04/02,100,68.13,88.27,71.37,49.58,43,Xấu,"RGB(255,126,0)",38,36,7.48,0.024,0.029,0.027,0.032,0.03,0.015,0.017,0.005,0.003,0.014,0.01,0.026,0.001,5.695,"25",7.92,18.339,14.206,0.113,0.338,0.34,0,9500,"33",0.2,15.8,122.657
"35",QLPH052016,QL5,105.59,9.56,0.32,2016/04/15,100,68.13,72.02,63.24,54.58,31,Xấu,"RGB(255,126,0)",30,29,7.9,0.023,0.023,0.02,0.024,0.03,0.014,0.017,0.008,0.001,0.011,0.01,0.017,0.002,5.8,"25",10,19.05,14.588,0.7,0.11,0.27,0,9500,"21",0.3,75.65,125
"36",QLPH052016,QL5,105.59,9.56,0.32,2016/05/02,100,100,74.99,66.31,55,50,Xấu,"RGB(255,126,0)",47,45,8.15,0.022,0.018,0.016,0.015,0.039,0.013,0.018,0.006,0.009,0.008,0.002,0.012,0.002,6.163,"25",8.64,18.709,15.024,0.5,0.89,0.2,0,1800,"15",0.5,86.47,194.2
