fid,Name,descriptio,id,cable_id,color,length,rfs,owners,url,geometry
1,Coral Sea Cable System (CSCS),"<div class=""googft-info-window"">
<b>id:</b> coral-sea-cable-system-cscs<br>
<b>cable_id:</b> 1934<br>
<b>description:</b> [{""landing_point_id"":10893,""name"":""Auki, Solomon Islands"",""latlon"":""-8.774644,160.701321""},{""landing_point_id"":10892,""name"":""Honiara",coral-sea-cable-system-cscs,1934,#b6b8ba,"4,000 km",Q4 2019,Vocus Communications,,"MULTILINESTRING ((157.190686 -8.242089, 157.274963 -7.955717, 157.387463 -7.732823), (156.395862 -6.708991, 156.599963 -7.286684, 157.387463 -7.732823, 158.399962 -8.067119, 159.749961 -8.901627, 159.949766 -9.429057), (160.701328 -8.774637, 160.64996 -9.179383, 160.537461 -9.290424, 160.199961 -9.290424, 159.949766 -9.429057), (154.349965 -15.441024, 152.099966 -14.135775, 148.499969 -11.503334, 147.26247 -10.177457, 147.18852 -9.479594), (151.206998 -33.869555, 152.099966 -33.273631, 154.349965 -31.851466, 155.699964 -28.74381, 155.699964 -25.540896, 154.799965 -18.88014, 154.349965 -15.441024, 156.599963 -11.943945, 159.187461 -10.177457, 159.299961 -9.734235, 159.24376 -9.290424, 159.524961 -9.012755, 159.749961 -9.012755, 159.949766 -9.429057))"
2,Interchange Cable Network 2 (ICN2),"<div class=""googft-info-window"">
<b>id:</b> interchange-cable-network-2-icn2<br>
<b>cable_id:</b> 1795<br>
<b>description:</b> [{""landing_point_id"":10892,""name"":""Honiara, Solomon Islands"",""latlon"":""-9.429087,159.949784""},{""landing_point_id"":16149,""name"":",interchange-cable-network-2-icn2,1795,#b6b8ba,"1,632 km",Q4 2019,Interchange,http://www.interchange.vu,"MULTILINESTRING ((166.274956 -16.522522, 167.062456 -15.874323, 167.287456 -15.820211, 167.343706 -15.657788, 167.200249 -15.506458), (159.949766 -9.429057, 159.749961 -9.068306, 159.524961 -9.068306, 159.356211 -9.290424, 159.412461 -9.734235, 160.64996 -11.062032, 166.274956 -16.522522, 167.849955 -17.812341, 168.323002 -17.730505))"
3,GlobeNet Argentina-Brazil Cable,"<div class=""googft-info-window"">
<b>id:</b> globenet-argentina-brazil-cable<br>
<b>cable_id:</b> 1964<br>
<b>description:</b> [{""landing_point_id"":3330,""name"":""Las Toninas, Argentina"",""latlon"":""-36.472532,-56.695487""},{""landing_point_id"":16413,""name"":""Pr",globenet-argentina-brazil-cable,1964,#b6b8ba,"2,500 km",H1 2020,GlobeNet,http://www.globenet.net,"MULTILINESTRING ((-43.209563 -22.903484, -43.649895 -23.287413, -44.999894 -23.905969, -46.412491 -24.008866, -46.349893 -25.134187, -47.249892 -27.951747, -49.499891 -32.61276, -53.999888 -35.775783, -56.695442 -36.470979))"
4,England Cable,"<div class=""googft-info-window"">
<b>id:</b> england-cable<br>
<b>cable_id:</b> 1941<br>
<b>description:</b> [{""landing_point_id"":17233,""name"":""Seaton Sluice, United Kingdom"",""latlon"":""55.083614,-1.474407""},{""landing_point_id"":3132,""name"":""Stavanger, Norw",england-cable,1941,#b6b8ba,722 km,2020,NO-UK COM AS,https://no-uk.com,"MULTILINESTRING ((-1.474424 55.083614, -0.899925 55.334581, 0.900074 55.843186, 2.534972 56.549194, 3.375072 58.051316, 4.050071 58.641678, 5.175071 58.875068, 5.51257 58.991177, 5.730771 58.97082))"
5,St. Pierre and Miquelon Cable,"<div class=""googft-info-window"">
<b>id:</b> st-pierre-and-miquelon-cable<br>
<b>cable_id:</b> 1967<br>
<b>description:</b> [{""landing_point_id"":17235,""name"":""Fortune, NL, Canada"",""latlon"":""47.071984,-55.827286""},{""landing_point_id"":17234,""name"":""Lamaline",st-pierre-and-miquelon-cable,1967,#64af46,200 km,May 2018,French Authority of St. Pierre and Miquelon,,"MULTILINESTRING ((-55.835897 47.071965, -56.137386 47.120912, -56.193636 47.120878, -56.349886 47.083686, -56.193636 47.082622, -56.137337 46.890663, -56.180587 46.775827, -55.968636 46.813826, -55.803292 46.86896))"
6,sea2shore,"<div class=""googft-info-window"">
<b>id:</b> sea2shore<br>
<b>cable_id:</b> 1966<br>
<b>description:</b> [{""landing_point_id"":17232,""name"":""Crescent Beach, RI, United States"",""latlon"":""41.191958,-71.593673""},{""landing_point_id"":17231,""name"":""Narragansett,",sea2shore,1966,#51c3bd,32 km,2016,National Grid,,"MULTILINESTRING ((-71.593674 41.191967, -71.442771 41.441392))"
7,Glo-2,"<div class=""googft-info-window"">
<b>id:</b> glo-2<br>
<b>cable_id:</b> 1965<br>
<b>description:</b> [{""landing_point_id"":5922,""name"":""Bonny, Nigeria"",""latlon"":""4.429329,7.178421""},{""landing_point_id"":17230,""name"":""Kwa Ibo, Nigeria"",""latlon"":""4.543806,7.9",glo-2,1965,#b6b8ba,850 km,2019,Globacom Limited,http://www.gloworld.com,"MULTILINESTRING ((7.178475 4.429365, 7.200069 3.940476, 7.200069 3.491423), (3.423509 6.439069, 4.050071 4.164913, 5.40007 3.491423, 7.200069 3.491423, 7.650069 3.715978, 7.997468 4.54382))"
8,NordBaltEurope,"<div class=""googft-info-window"">
<b>id:</b> nordbalteurope<br>
<b>cable_id:</b> 1963<br>
<b>description:</b> [{""landing_point_id"":5898,""name"":""Klaipeda, Lithuania"",""latlon"":""55.695723,21.149984""},{""landing_point_id"":13064,""name"":""Nybro, Sweden"",""latlon"":",nordbalteurope,1963,#7c449b,400 km,2016,"Lietuvos Energija,  Svenska Kraftnät",,"MULTILINESTRING ((15.908669 56.743799, 16.087563 56.593793, 16.200063 56.345223, 16.312563 56.032217, 17.325062 55.716652, 20.47506 55.716652, 21.149962 55.69575))"
9,NYNJ-1,"<div class=""googft-info-window"">
<b>id:</b> nynj-1<br>
<b>cable_id:</b> 1961<br>
<b>description:</b> [{""landing_point_id"":3822,""name"":""Wall Township, New Jersey, United States"",""latlon"":""40.152871,-74.062873""},{""landing_point_id"":7194,""name"":""Westbury, N",nynj-1,1961,#b6b8ba,n.a.,Q4 2018,Cleareon Fiber Networks,http://www.cleareon.com,"MULTILINESTRING ((-74.062862 40.152831, -73.799873 40.258664, -73.631124 40.344462, -73.518624 40.55848, -73.586824 40.757107))"
10,Southeast Asia - Japan 2 (SJC2),"<div class=""googft-info-window"">
<b>id:</b> southeast-asia---japan-2-sjc2<br>
<b>cable_id:</b> 1958<br>
<b>description:</b> [{""landing_point_id"":5937,""name"":""Changi South, Singapore"",""latlon"":""1.389438,103.987017""},{""landing_point_id"":5885,""name"":""Chikur",southeast-asia---japan-2-sjc2,1958,#b6b8ba,"10,500 km",Q4 2020,"China Mobile,  Chunghwa Telecom,  Facebook,  KDDI,  Chuan Wei,  SingTel,  SK Broadband,  VNPT-Vinaphone,  True Corporation",,"MULTILINESTRING ((126.224985 25.551883, 123.749987 25.653337, 122.849987 25.754704, 121.949988 25.653337, 121.487683 25.181626), (128.249983 28.359234, 127.124984 29.540508, 125.774985 30.320465, 124.649986 30.901396, 122.849987 31.286739, 122.174988 31.19055, 121.896082 30.935662), (129.599982 28.754486, 129.374983 30.901396, 129.149983 31.670513, 129.262483 32.812319, 129.374983 34.312152, 128.999495 35.170302), (138.599976 32.052708, 137.699977 33.189715, 136.874001 34.336831), (100.596976 7.078511, 101.700002 7.410337, 103.050001 8.190543, 103.500001 9.524411, 103.50669 10.629922), (107.099998 4.837826, 105.3 6.181557, 103.050001 8.190543), (113.174994 12.615396, 111.599995 13.273238, 110.024996 13.710818, 109.219601 13.78291), (120.149989 20.269544, 120.487489 21.635297, 120.662098 22.249168), (114.749993 18.251816, 114.299993 20.796306, 114.203094 22.22214), (103.987012 1.389447, 104.19209 1.276478, 104.287891 1.327893, 104.456543 1.468427, 104.90625 2.81745, 105.749999 3.940476, 107.099998 4.837826, 107.999998 5.510072, 110.699996 7.744889, 112.049995 9.967915, 113.174994 12.615396, 114.749993 18.251816, 116.999991 19.529071, 120.149989 20.269544, 121.049988 20.375041, 122.849987 20.90144, 124.874986 22.052986, 125.774985 24.122617, 126.224985 25.551883, 126.674984 26.159308, 128.249983 28.359234, 129.599982 28.754486, 131.399981 29.049949, 134.999979 30.12605, 136.799977 30.901396, 138.599976 32.052708, 139.049976 32.433313, 139.724975 33.93964, 139.949975 34.405023, 139.954687 34.976728))"
